Area,Age,Gender,Population,
Arbutus Ridge,0-4 years,Male,280,
Arbutus Ridge,5-9 years,Male,370,
Arbutus Ridge,10-14 years,Male,545,
Arbutus Ridge,15-19 years,Male,695,
Arbutus Ridge,15 years,Male,130,
Arbutus Ridge,16 years,Male,155,
Arbutus Ridge,17 years,Male,160,
Arbutus Ridge,18 years,Male,125,
Arbutus Ridge,19 years,Male,125,
Arbutus Ridge,20-24 years,Male,515,
Arbutus Ridge,25-29 years,Male,350,
Arbutus Ridge,30-34 years,Male,240,
Arbutus Ridge,35-39 years,Male,335,
Arbutus Ridge,40-44 years,Male,560,
Arbutus Ridge,45-49 years,Male,695,
Arbutus Ridge,50-54 years,Male,490,
Arbutus Ridge,55-59 years,Male,485,
Arbutus Ridge,60-64 years,Male,445,
Arbutus Ridge,65-69 years,Male,305,
Arbutus Ridge,70-74 years,Male,240,
Arbutus Ridge,75-79 years,Male,215,
Arbutus Ridge,80-84 years,Male,200,
Arbutus Ridge,0-4 years,Female,295,
Arbutus Ridge,5-9 years,Female,335,
Arbutus Ridge,10-14 years,Female,495,
Arbutus Ridge,15-19 years,Female,670,
Arbutus Ridge,15 years,Female,125,
Arbutus Ridge,16 years,Female,145,
Arbutus Ridge,17 years,Female,155,
Arbutus Ridge,18 years,Female,125,
Arbutus Ridge,19 years,Female,120,
Arbutus Ridge,20-24 years,Female,515,
Arbutus Ridge,25-29 years,Female,355,
Arbutus Ridge,30-34 years,Female,320,
Arbutus Ridge,35-39 years,Female,490,
Arbutus Ridge,40-44 years,Female,860,
Arbutus Ridge,45-49 years,Female,770,
Arbutus Ridge,50-54 years,Female,630,
Arbutus Ridge,55-59 years,Female,565,
Arbutus Ridge,60-64 years,Female,495,
Arbutus Ridge,65-69 years,Female,360,
Arbutus Ridge,70-74 years,Female,330,
Arbutus Ridge,75-79 years,Female,330,
Arbutus Ridge,80-84 years,Female,335,
Arbutus Ridge,85+,Female,580,
Central Business District,0-4 years,Male,930,
